Serv 15-25,Show 5-14,Hosp 5-14,Enc 5-14,Giv 5-14,"You display God's love by helping others wherever they have needs. Other display gifts are important to you, but you find your greatest joy in helping others or meeting specific needs they have at the moment."
Serv 15-25,Show 15-25,Hosp 5-14,Enc 5-14,Giv 5-14,"You have a strong desire to insure other's needs are met because you feel God's love and mercy and want to share those feelings with others. You may often find yourself focused on other's needs, instead of priorities in your life because of the joy from caring."
Serv 15-25,Show 15-25,Hosp 15-25,Enc 5-14,Giv 5-14,"You have a strong desire to insure other's needs are met because you feel God's love and mercy and want to share those feelings with others. Welcoming others to your home is a great way to do that. You enjoy ministering, supporting their needs and helping them feel that the moments they are with you is a gift from God."
Serv 15-25,Show 15-25,Hosp 15-25,Enc 15-25,Giv 5-14,"You have a strong desire to insure other's needs are met because you feel God's love and mercy and want to share those feelings with others. Welcoming others to your home is a great way to do that as well as encouraging them with your loving, caring and non-judgmental attitude. Your hospitality will make them feel a strong sense of value as long as you are there with them."
Serv 15-25,Show 15-25,Hosp 15-25,Enc 15-25,Giv 15-25,"You have a strong desire to insure other's needs are met because you feel God's love and mercy and want to share those feelings with others. Welcoming others to your home is a great way to do that. People actively seek you out because of your compassion and giving spirit. You have a way of welcoming, encouraging, helping and giving to others that makes that few have, leaving a lasting impression."
Serv 5-14,Show 15-25,Hosp 15-25,Enc 15-25,Giv 15-25,You have an unusual ability to show God's love and mercy and want to share those feelings with others. Welcoming others to your home is a great way to do that. You enjoy expressing deep compassion and caring for those around you. You are willing to encourage others and insure their needs are met even if it costs you something.
Serv 5-14,Show 5-14,Hosp 15-25,Enc 15-25,Giv 15-25,You love having people around you and in your home so you can share your love and hospitality with them. You enjoy giving of yourself any way you can as well as sharing your physical and financial assets to insure they feel encouraged and blessed when they leave you.
Serv 5-14,Show 5-14,Hosp 5-14,Enc 15-25,Giv 15-25,"You feel great joy when you have spent time with someone, assuring them that they are loved and cared for by God and the Body of Christ. You have a desire to help them meet their needs by giving of yourself and your resources. This blesses you and them both."
Serv 5-14,Show 5-14,Hosp 5-14,Enc 5-14,Giv 15-25,"Your greatest desire is to quietly meet other's needs. While you may enjoy the 'thanks' you receive, that is not what is most important to you ' it is the joy of knowing you were able to contribute something to someone by God working in and through you."
Serv 5-14,Show 5-14,Hosp 5-14,Enc 5-14,Giv 5-14,"While you have an ability to display God's love on occasions, your greatest strengths lie in other categories that better exemplify what God created you to be and the way He created you to serve the body."
Serv 5-14,Show 15-25,Hosp 5-14,Enc 5-14,Giv 5-14,You prefer to display the gift of mercy more often than other display gifting. The circumstances in your life has impacted you profoundly and placed a special desire in your heart for those who are afflicted or are seeking help. You may often feel as if you know others will not respond to certain individuals the way you do.
Serv 15-25,Show 15-25,Hosp 5-14,Enc 15-25,Giv 5-14,"You have a strong desire to insure other's needs are met because you feel God's love and mercy and want to share those feelings with others. You have a special place in your heart for encouraging them with your loving, caring and non-judgmental attitude. It is your desire to give them feel a strong sense of value as long as you are there with them."
Serv 5-14,Show 15-25,Hosp 15-25,Enc 15-25,Giv 5-14,You have an unusual ability to show God's love and mercy and want to share those feelings with others. Welcoming others to your home is a great way to do that. You enjoy expressing deep compassion and caring for those around you. You are willing to encourage others and insure they understand that you and your home is open to them because you understand and relate to their position.
Serv 15-25,Show 15-25,Hosp 5-14,Enc 5-14,Giv 15-25,You have a strong desire to insure other's needs are met because you feel God's love and mercy and want to share those feelings with others. People actively seek you out because of your compassion and giving spirit. You have a way of helping and giving to others that makes a lasting impression on them because of your commitment to them when you needed them.
Serv 5-14,Show 5-14,Hosp 15-25,Enc 5-14,Giv 5-14,"Your doors always seem to be open for times of ministry or for those traveling in the Lord's work. You enjoy having others share what you have, making their life special and learning how God works in them while they are with you. You have the ability to rejuvenate the saints that spend time with you."
Serv 5-14,Show 5-14,Hosp 5-14,Enc 15-25,Giv 5-14,"You feel compelled to encourage others and insure they feel God's love when they are with you. You do your best to avoid subjects that may be interpreted as legalistic or negative so others can feel comfortable around you. You feel as if you place is to hearten, cheer and brighten other's lives, especially those who seem down or distraught. "
Serv 15-25,Show 5-14,Hosp 15-25,Enc 15-25,Giv 15-25,"You have a strong desire to insure other's needs are met. Your servant's heart is something you want to share with others who share the faith. Welcoming others to your home is a great way to do that. People actively seek you out because of your compassion and giving spirit. You have a way of welcoming, encouraging, helping and giving to others building them up and leaving a lasting impression."
Serv 15-25,Show 15-25,Hosp 5-14,Enc 15-25,Giv 15-25,"You have a strong desire to insure other's needs are met because you feel God's love and mercy and want to share those feelings with others. People actively seek you out because of your compassion and giving spirit. You have a way of encouraging, helping and giving to others building them up and leaving a lasting impression."
Serv 15-25,Show 15-25,Hosp 15-25,Enc 5-14,Giv 15-25,"You have a strong desire to insure other's needs are met because you feel God's love and mercy and want to share those feelings with others. Welcoming others to your home is a great way to do that. People actively seek you out because of your compassion and giving spirit. You have a way of welcoming, helping and giving to others which builds them up, leaving a lasting impression."
Serv 5-14,Show 15-25,Hosp 5-14,Enc 15-25,Giv 5-14,You have a heart which is focused on encouraging and helping those who are in difficult circumstances. You have no problem going out of your way for those who are less fortunate or have not been recognized by others. Your life experiences are something that God is using to help you empathize with others and show them how much you care. 
Serv 15-25,Show 15-25,Hosp 5-14,Enc 5-14,Giv 15-25,You have a strong desire to insure other's needs are met because you feel God's love and mercy and want to share those feelings with others. You have no problem digging down deep to help others when they are in need. You are specially touched by those having a hard time in their life at the moment. You want to make sure they have their needs met properly.
Serv 15-25,Show 5-14,Hosp 15-25,Enc 15-25,Giv 5-14,You have a strong desire to insure other's needs are met because you feel God's love and mercy and want to share those feelings with others. You enjoy opening your heart and home to extend the love of God to others. You enjoy using what you have to lift other's spirit and know that God has seen their need and answered it through those whom He has appointed. 
Serv 15-25,Show 5-14,Hosp 5-14,Enc 5-14,Giv 15-25,You have a strong desire to insure other's needs are met because you feel God's love and mercy and want to share those feelings with others. You have no problem helping or giving of what you have to insure others have their physical needs met. You find great joy in being a servant and sharing what you have with those who do not have as much as you do.
Serv 15-25,Show 5-14,Hosp 15-25,Enc 5-14,Giv 15-25,You have a strong desire to insure other's needs are met because you feel God's love and mercy and want to share those feelings with others. You enjoy serving in many areas of the church but opening your home and giving to meet other people's needs are a way you most enjoy expressing the love you found when Christ gave of Himself to you.
Serv 15-25,Show 5-14,Hosp 5-14,Enc 15-25,Giv 15-25,You have a strong desire to insure other's needs are met because you feel God's love and want to share those feelings with others. You enjoy serving in many areas of the church but encouraging and giving to others brings you great joy. You often feel that God has given you the ability to say and do things that others cannot and that provide a great sense of joy during your times of prayer.
Serv 5-14,Show 15-25,Hosp 15-25,Enc 5-14,Giv 5-14,You have a strong desire to bring those who are struggling into your safe environment as a way of expressing your belief that God will care for them long term. You enjoy serving in many areas of the church but opening your home and heart to those downtrodden brings you great joy. When you meet other people's needs this way you are expressing the love you found when Christ gave of Himself to you.
Serv 5-14,Show 15-25,Hosp 15-25,Enc 5-14,Giv 15-25,You have a strong desire to bring those who are struggling into your safe environment as a way of expressing your belief that God will care for them long term. You enjoy caring for their needs by providing what they do not have. Giving others a new look at life and His love by sharing what you have provides great satisfaction to you. 
Serv 15-25,Show 5-14,Hosp 5-14,Enc 15-25,Giv 5-14,You have a strong desire to insure other's needs are met because you feel God's love and want to share those feelings with others. One of your greatest joys is in serving others and meeting their needs. You enjoy this because often you find an opening to encourage and help others see the joy that the Lord has made full in you. They can have it too!
Serv 15-25,Show 5-14,Hosp 15-25,Enc 5-14,Giv 5-14,You have a strong desire to insure other's needs are met because you feel God's love and want to share those feelings with others. You also find a great deal of satisfaction in having visitors or those you care about in your home for times of refreshing. You love making others feel better.
Serv 5-14,Show 5-14,Hosp 15-25,Enc 5-14,Giv 15-25,"You also find a great deal of satisfaction in having visitors or those you care about in your home for times of refreshing as well as meeting their needs physically and financially. You are a gracious host and people who visit your home during times of ministry leave, feeling blessed by you."
Serv 5-14,Show 5-14,Hosp 15-25,Enc 15-25,Giv 5-14,"You also find a great deal of satisfaction in having visitors or those you care about in your home for times of refreshing and providing them with encouragement to keep the faith. You are a gracious host and people who visit your home during times of ministry leave, feeling optimistic."
Serv 5-14,Show 15-25,Hosp 5-14,Enc 15-25,Giv 15-25,You have a heart which is focused on encouraging and helping those who are in difficult circumstances. You have no problem going out of your way for those who are less fortunate or have not been recognized by others. Your life experiences are something that God is using to help you empathize with others and show them how much you care, even to the point of giving your personal resources (at times sacrificially).
Serv 5-14,Show 15-25,Hosp 5-14,Enc 5-14,Giv 15-25,You have a strong desire to bring those who are struggling close to you as a way of expressing your belief that God will care for them long term. You have a great desire to give to those who are struggling or are under stress. You willingness to help and show mercy is obvious to them and those who see your involvement with those in need.
Wis 15-25,Know 5-14,Prop 5-14,Tea 5-14,Evan 5-14,You display an ability to provide insight and wisdom into matters that may puzzle or confuse others. You possess insight that allows you to simplify and identify the core issues and answers which are needed by others to improve their spiritual life or correct their way of thinking. 
Wis 15-25,Know 15-25,Prop 5-14,Tea 5-14,Evan 5-14,You display an ability to provide insight and wisdom into matters that may puzzle or confuse others. You also have a deep desire to study and learn more as it seems as if God has empowered you to see into his mind at times. Your accumulated knowledge provides you with insight that often helps to simplify complex issues for others.
Wis 15-25,Know 15-25,Prop 15-25,Tea 5-14,Evan 5-14,You display an ability to provide insight and wisdom into matters that may puzzle or confuse others. You also have a deep desire to study and learn more as it seems as if God has empowered you to see into his mind at times. That insight is what drives you to speak out to others and share what God has given you. You feel compelled to share.
Wis 15-25,Know 15-25,Prop 15-25,Tea 15-25,Evan 5-14,You display an ability to provide insight and wisdom into matters that may puzzle or confuse others. You also have a deep desire to study and learn more as it seems as if God has empowered you to see into his mind at times. That insight initiates a strong desire to share what you know with other by speaking out and sharing the gospel. You thrive in an atmosphere where you can teach or preach.
Wis 15-25,Know 15-25,Prop 15-25,Tea 15-25,Evan 15-25,You display an ability to provide insight and wisdom into matters that may puzzle or confuse others. You also have a deep desire to study and learn more as it seems as if God has empowered you to see into his mind at times. That insight initiates a strong desire to share what you know with other by speaking out and sharing the gospel. You thrive in an atmosphere where you can teach or preach with a straight forward simple plan of salvation. 
Wis 5-14,Know 15-25,Prop 15-25,Tea 15-25,Evan 15-25,You also have a deep desire to study and learn more as it seems as if God has empowered you to see into his mind at times. That insight initiates a strong desire to share what you know with other by speaking out and sharing the gospel. You thrive in an atmosphere where you can teach or proclaim the good news to others. You have the ability to share clearly and plainly what others need to hear in a timely manner.
Wis 5-14,Know 5-14,Prop 15-25,Tea 15-25,Evan 15-25,You have been gifted with an ability to proclaim the gospel in clear and understandable terms. You also have a gift for teaching others in a way they can grow and be blessed by what the Spirit places in your mouth. You thrive in an atmosphere where you can teach or proclaim the good news clearly and plainly to meet other's need for the Gospel.
Wis 5-14,Know 5-14,Prop 5-14,Tea 15-25,Evan 15-25,You have been gifted with an ability to clearly share the gospel with others in a way that is understandable and clear. You have a way of sharing that embraces and backs up spiritual principles others need to hear to encourage them while you are communicating what the Holy Spirit tells you to speak.
Wis 5-14,Know 5-14,Prop 5-14,Tea 5-14,Evan 15-25,You have been gifted with the ability to communicate the gospel in a format that is easy to understand and grasp. Others will be moved by the Holy Spirit as he guides your communication. He will move others to accept the Gospel based on the truths God speaks through you.
Wis 5-14,Know 5-14,Prop 5-14,Tea 5-14,Evan 5-14,"While you have an ability to communicate God's mind on occasions, your greatest strengths lie in other categories that better exemplify what God created you to be and the way He created you to serve the body."
Wis 5-14,Know 15-25,Prop 5-14,Tea 5-14,Evan 5-14,God has gifted you with a strong ability to gather and retain knowledge that is beneficial to His Kingdom. You have an ability to take that knowledge and share it with others to build up the individuals He brings into your path. The Holy Spirit will use your knowledge combined with your life experiences to reach people others cannot reach.
Wis 15-25,Know 15-25,Prop 5-14,Tea 15-25,Evan 5-14,"You display an ability to provide insight and wisdom into matters that may puzzle or confuse others. You also have a deep desire to study and learn more as it seems as if God has empowered you to see into his mind at times. You thrive in an atmosphere where you can teach or preach with a straight forward simple plan of salvation. Your strong gifting and ability to assimilate information, allow you share God's love as few people can. The Holy Spirit will use these skills for edifying the body and those willing to listen."
Wis 5-14,Know 15-25,Prop 15-25,Tea 15-25,Evan 5-14,You have a deep desire to study and learn more as it seems as if God has empowered you to see into his mind at times. That insight initiates a strong desire to share what you know with other by speaking out and sharing the gospel. You thrive in an atmosphere where you can teach or preach with a straight forward simple plan of salvation. Your ability to acquire knowledge and use it to proclaim and teach His word in both an understandable way as well as addressing specific events in other's lives. You have an impact on their life position.
Wis 15-25,Know 15-25,Prop 5-14,Tea 5-14,Evan 15-25,You display an ability to provide insight and wisdom into matters that may puzzle or confuse others. You also have a deep desire to study and learn more as it seems as if God has empowered you to see into his mind at times. You have been gifted with a strong ability convey your knowledge and wisdom to others in a simple and clear way. You are able to make difficult scriptural information understandable to others.
Wis 5-14,Know 5-14,Prop 15-25,Tea 5-14,Evan 5-14,You have the ability to speak into others lives at times when the Holy Spirit quickens your heat. By listening and communicating what is on your heart and mind God allows you to enrich others with spiritual insight they do not have or would be able to acquire any other way. You have become God's mouthpiece.
Wis 5-14,Know 5-14,Prop 5-14,Tea 15-25,Evan 5-14,"You have the ability to take scriptures, passages and books, whether short or long, and communicate them to others in an understandable and applicable format. Your gifting by the Holy spirit provides you with an ability to teach others and enrich their lives as you provide insight that they would not have had if God had not brought you into their path."
Wis 15-25,Know 5-14,Prop 15-25,Tea 15-25,Evan 15-25,You display an ability to provide insight and wisdom into matters that may puzzle or confuse others. God has empowered you to see into his mind at times so you will be able to share with others. That insight initiates a strong desire to communicate what you know with others by speaking out and sharing the gospel. You thrive in an atmosphere where you can teach or preach with a straight forward simple plan of salvation. 
Wis 15-25,Know 15-25,Prop 5-14,Tea 15-25,Evan 15-25,You display an ability to provide insight and wisdom into matters that may puzzle or confuse others. You also have a deep desire to study and learn more as it seems as if God has empowered you to see into his mind at times. You thrive in an atmosphere where you can teach and build up the body of Christ by teaching them application of scriptural principles or by teaching them in a simple presentation of the gospel or plan of salvation. 
Wis 15-25,Know 15-25,Prop 15-25,Tea 5-14,Evan 15-25,You display an ability to provide insight and wisdom into matters that may puzzle or confuse others. You also have a deep desire to study and learn more as it seems as if God has empowered you to see into his mind at times. That insight initiates a strong desire to share what you know with other by speaking out and sharing the gospel. You thrive in an atmosphere where you can share a straight forward Biblical principle or the plan of salvation. 
Wis 5-14,Know 15-25,Prop 5-14,Tea 15-25,Evan 5-14,Your deep desire to study and learn more has empowered you to understand and retain key principles of God's mind at times. Your studies and life experience have given you the kind of insight necessary to help others. This motivates your desire to teach and share what God has taught you with others. Others will be drawn to you so you can share with them.
Wis 15-25,Know 15-25,Prop 5-14,Tea 5-14,Evan 15-25,"You display an ability to provide insight and wisdom into matters that may puzzle or confuse others. You also have a deep desire to study and learn more as it seems as if God has empowered you to see into his mind at times. That insight initiates a strong desire to share the gospel, a straight forward Biblical principle, or the plan of salvation. "
Wis 15-25,Know 5-14,Prop 15-25,Tea 15-25,Evan 5-14,"You display an ability to provide insight and wisdom into matters that may puzzle or confuse others. That insight initiates a strong desire to share what you know with other by speaking out and sharing the gospel. You thrive in an atmosphere where you can share Biblical principles that will strengthen, build up or enhance others in their walk with Christ. "
Wis 15-25,Know 5-14,Prop 5-14,Tea 5-14,Evan 15-25,"You display an ability to provide insight and wisdom into matters that may puzzle or confuse others. You also have a deep desire to share the gospel, a straight forward Biblical principle, or the plan of salvation to those who have not heard the Gospel. "
Wis 15-25,Know 5-14,Prop 15-25,Tea 5-14,Evan 15-25,You display an ability to provide insight and wisdom into matters that may puzzle or confuse others. That insight initiates a strong desire to share what you know with other by speaking out and sharing the gospel. You thrive in an atmosphere where you can share the simple and straight forward plan of salvation. 
Wis 15-25,Know 5-14,Prop 5-14,Tea 15-25,Evan 15-25,You have been gifted with deep spiritual insight into the heart of God. He has focused your heart on sharing His principles clearly to others so they can understand His direction and/or be drawn to the gospel.
Wis 5-14,Know 15-25,Prop 15-25,Tea 5-14,Evan 5-14,God has gifted you with an ability to acquire knowledge and understand what is important to God and His people. You are urged by the Holy Spirit to speak into and address specific events in other's lives. God has gifted you with this ability so you will have an impact on their life position when you communicate what the Spirit says to you.
Wis 5-14,Know 15-25,Prop 15-25,Tea 5-14,Evan 15-25,God has gifted you with an ability to acquire knowledge and understand what is important to God and His people. You are urged by the Holy Spirit to speak into and address specific events in other's lives. God has gifted you with this ability so you will have an impact on their life position when you communicate what the Spirit says to you. He has focused your heart on sharing His principles clearly to others so they can understand His direction and/or be drawn to the gospel.
Wis 15-25,Know 5-14,Prop 5-14,Tea 15-25,Evan 5-14,"You display an ability to provide insight and wisdom into matters that may puzzle or confuse others. You thrive in an atmosphere where you can share Biblical principles that will strengthen, build up or enhance others in their walk with Christ, understanding His direction and applying that direction in their spiritual growth and development."
Wis 15-25,Know 5-14,Prop 15-25,Tea 5-14,Evan 5-14,You display an ability to provide insight and wisdom into matters that may puzzle or confuse others. That deep spiritual insight into the heart of God is driven by the Spirit and caused you to share His principles clearly to individuals in very specific circumstances. You will be His messenger on occasions.
Wis 5-14,Know 5-14,Prop 15-25,Tea 5-14,Evan 15-25,"You have a strong ability to speak into other people's lives, communicating God's heart and/or direction to them. That spiritual insight, driven by the Spirit causes you to share His principles simply and clearly to individuals on both specific and general occasions. You will be His messenger more than once."
Wis 5-14,Know 5-14,Prop 15-25,Tea 15-25,Evan 5-14,"You have a strong ability to speak into other people's lives, communicating God's heart and/or direction to them. That spiritual insight, driven by the Spirit causes you to communicate God's heart and/or direction to them. You also clearly communicate scriptural principles in a way others understand and can apply them to their growth and development."
